18950,0.049,4650,0.134,1910,0.144,26060,0.048,10530,0.089
20050,0.058,5130,0.103,2080,0.089,27470,0.054,11380,0.081
20980,0.046,5490,0.07,2180,0.048,28740,0.046,12120,0.065
22310,0.063,5800,0.056,2270,0.041,30500,0.061,12840,0.059
23420,0.05,6190,0.067,2290,0.009,31990,0.049,13560,0.056
24820,0.06,6600,0.066,2380,0.039,33800,0.057,14370,0.06
25740,0.037,7070,0.071,2570,0.08,35070,0.038,15240,0.061
26770,0.04,7630,0.079,2740,0.066,36470,0.04,16180,0.062
27880,0.041,8280,0.085,2970,0.084,37970,0.041,17160,0.061
28990,0.04,8650,0.045,3150,0.061,39450,0.039,17820,0.038
30130,0.039,8890,0.028,3240,0.029,40960,0.038,18380,0.031
31280,0.038,9150,0.029,3340,0.031,42450,0.036,18930,0.03
32340,0.034,9430,0.031,3400,0.018,43880,0.034,19570,0.034
33500,0.036,9670,0.025,3460,0.018,45350,0.034,20150,0.03
34700,0.036,9980,0.032,3560,0.029,46990,0.036,20790,0.032
35830,0.033,10230,0.025,3660,0.028,48510,0.032,21370,0.028
